Name,EventName,Result,Rank,Note,Date,City,MeetName,PoolName,LengthMeters,Seconds
Bai Ou,50m Freestyle,0:33.33,12,,2025-03-15,Chiang Mai,"Thailand Swimming Championship, Region 5 (North), 2025",Maejo University,50,33.33
Anna,50m Freestyle,0:37.41,35,,2025-03-15,Chiang Mai,"Thailand Swimming Championship, Region 5 (North), 2025",Maejo University,50,37.41
Bai Ou,50m Backstroke,0:41.96,27,,2025-03-15,Chiang Mai,"Thailand Swimming Championship, Region 5 (North), 2025",Maejo University,50,41.96
Bai Ou,50m Breaststroke,0:42.80,9,,2025-03-15,Chiang Mai,"Thailand Swimming Championship, Region 5 (North), 2025",Maejo University,50,42.8
Anna,50m Backstroke,0:45.80,42,,2025-03-15,Chiang Mai,"Thailand Swimming Championship, Region 5 (North), 2025",Maejo University,50,45.8
Anna,50m Breaststroke,0:47.77,21,,2025-03-15,Chiang Mai,"Thailand Swimming Championship, Region 5 (North), 2025",Maejo University,50,47.77
Pami,100m Butterfly,1:35.19,18,,2025-03-15,Chiang Mai,"Thailand Swimming Championship, Region 5 (North), 2025",Maejo University,50,95.19
Bai Ou,100m Breaststroke,1:35.29,9,,2025-03-15,Chiang Mai,"Thailand Swimming Championship, Region 5 (North), 2025",Maejo University,50,95.29
Bai Ou,100m Butterfly,1:39.40,22,,2025-03-15,Chiang Mai,"Thailand Swimming Championship, Region 5 (North), 2025",Maejo University,50,99.4
Anna,100m Breaststroke,1:40.80,17,,2025-03-15,Chiang Mai,"Thailand Swimming Championship, Region 5 (North), 2025",Maejo University,50,100.8
Anna,100m Butterfly,1:44.06,26,,2025-03-15,Chiang Mai,"Thailand Swimming Championship, Region 5 (North), 2025",Maejo University,50,104.06
Pami,200m Freestyle,2:43.53,16,,2025-03-15,Chiang Mai,"Thailand Swimming Championship, Region 5 (North), 2025",Maejo University,50,163.53
Bai Ou,200m Freestyle,2:48.31,24,,2025-03-15,Chiang Mai,"Thailand Swimming Championship, Region 5 (North), 2025",Maejo University,50,168.31
Anna,200m Freestyle,2:51.76,29,,2025-03-15,Chiang Mai,"Thailand Swimming Championship, Region 5 (North), 2025",Maejo University,50,171.76
