Name,EventName,Result,Rank,Note,Date,City,MeetName,PoolName,LengthMeters,Seconds
Anna,50m Backstroke,0:43.14,17,,2025-05-24,Chiang Mai,Chiang Mai Swimming Championship 2025,"National Sports University, Chiang Mai Campus",25,43.14
Bai Ou,50m Backstroke,0:40.05,8,,2025-05-24,Chiang Mai,Chiang Mai Swimming Championship 2025,"National Sports University, Chiang Mai Campus",25,40.05
Anna,25m Breaststroke,0:20.42,7,,2025-05-24,Chiang Mai,Chiang Mai Swimming Championship 2025,"National Sports University, Chiang Mai Campus",25,20.42
Bai Ou,25m Breaststroke,0:19.22,2,,2025-05-24,Chiang Mai,Chiang Mai Swimming Championship 2025,"National Sports University, Chiang Mai Campus",25,19.22
Bai Ou,50m Butterfly,0:40.14,10,,2025-05-24,Chiang Mai,Chiang Mai Swimming Championship 2025,"National Sports University, Chiang Mai Campus",25,40.14
Anna,50m Butterfly,0:38.66,7,,2025-05-24,Chiang Mai,Chiang Mai Swimming Championship 2025,"National Sports University, Chiang Mai Campus",25,38.66
Bai Ou,25m Freestyle,0:15.08,3,,2025-05-24,Chiang Mai,Chiang Mai Swimming Championship 2025,"National Sports University, Chiang Mai Campus",25,15.08
Anna,25m Freestyle,0:16.52,15,,2025-05-24,Chiang Mai,Chiang Mai Swimming Championship 2025,"National Sports University, Chiang Mai Campus",25,16.52
Pami,50m Backstroke,0:42.90,16,,2025-05-24,Chiang Mai,Chiang Mai Swimming Championship 2025,"National Sports University, Chiang Mai Campus",25,42.9
Pami,25m Breaststroke,0:20.77,10,,2025-05-24,Chiang Mai,Chiang Mai Swimming Championship 2025,"National Sports University, Chiang Mai Campus",25,20.77
Pami,50m Butterfly,0:37.76,5,,2025-05-24,Chiang Mai,Chiang Mai Swimming Championship 2025,"National Sports University, Chiang Mai Campus",25,37.76
Pami,25m Freestyle,0:15.56,5,,2025-05-24,Chiang Mai,Chiang Mai Swimming Championship 2025,"National Sports University, Chiang Mai Campus",25,15.56
Anna,25m Backstroke,0:20.22,16,,2025-05-24,Chiang Mai,Chiang Mai Swimming Championship 2025,"National Sports University, Chiang Mai Campus",25,20.22
Bai Ou,25m Backstroke,0:19.55,11,,2025-05-24,Chiang Mai,Chiang Mai Swimming Championship 2025,"National Sports University, Chiang Mai Campus",25,19.55
Pami,25m Backstroke,0:19.75,12,,2025-05-24,Chiang Mai,Chiang Mai Swimming Championship 2025,"National Sports University, Chiang Mai Campus",25,19.75
Anna,50m Breaststroke,0:43.36,4,,2025-05-24,Chiang Mai,Chiang Mai Swimming Championship 2025,"National Sports University, Chiang Mai Campus",25,43.36
Bai Ou,50m Breaststroke,0:42.24,3,,2025-05-24,Chiang Mai,Chiang Mai Swimming Championship 2025,"National Sports University, Chiang Mai Campus",25,42.24
Pami,50m Breaststroke,0:44.82,8,,2025-05-24,Chiang Mai,Chiang Mai Swimming Championship 2025,"National Sports University, Chiang Mai Campus",25,44.82
Fu,50m Breaststroke,0:43.87,6,,2025-05-24,Chiang Mai,Chiang Mai Swimming Championship 2025,"National Sports University, Chiang Mai Campus",25,43.87
Fu,25m Freestyle,0:15.69,6,,2025-05-24,Chiang Mai,Chiang Mai Swimming Championship 2025,"National Sports University, Chiang Mai Campus",25,15.69
Fu,25m Backstroke,0:19.31,10,,2025-05-24,Chiang Mai,Chiang Mai Swimming Championship 2025,"National Sports University, Chiang Mai Campus",25,19.31
Fu,50m Butterfly,0:38.86,8,,2025-05-24,Chiang Mai,Chiang Mai Swimming Championship 2025,"National Sports University, Chiang Mai Campus",25,38.86
Fu,50m Backstroke,0:41.81,12,,2025-05-24,Chiang Mai,Chiang Mai Swimming Championship 2025,"National Sports University, Chiang Mai Campus",25,41.81
Fu,25m Breaststroke,0:20.25,5,,2025-05-24,Chiang Mai,Chiang Mai Swimming Championship 2025,"National Sports University, Chiang Mai Campus",25,20.25
Anna,25m Butterfly,0:17.26,8,,2025-05-24,Chiang Mai,Chiang Mai Swimming Championship 2025,"National Sports University, Chiang Mai Campus",25,17.26
Bai Ou,25m Butterfly,0:17.05,5,,2025-05-24,Chiang Mai,Chiang Mai Swimming Championship 2025,"National Sports University, Chiang Mai Campus",25,17.05
Fu,25m Butterfly,0:17.15,6,,2025-05-24,Chiang Mai,Chiang Mai Swimming Championship 2025,"National Sports University, Chiang Mai Campus",25,17.15
Pami,25m Butterfly,0:17.25,7,,2025-05-24,Chiang Mai,Chiang Mai Swimming Championship 2025,"National Sports University, Chiang Mai Campus",25,17.25
Anna,50m Freestyle,0:35.30,13,,2025-05-24,Chiang Mai,Chiang Mai Swimming Championship 2025,"National Sports University, Chiang Mai Campus",25,35.3
Bai Ou,50m Freestyle,0:32.33,3,,2025-05-24,Chiang Mai,Chiang Mai Swimming Championship 2025,"National Sports University, Chiang Mai Campus",25,32.33
Fu,50m Freestyle,0:33.14,6,,2025-05-24,Chiang Mai,Chiang Mai Swimming Championship 2025,"National Sports University, Chiang Mai Campus",25,33.14
Pami,50m Freestyle,0:32.62,5,,2025-05-24,Chiang Mai,Chiang Mai Swimming Championship 2025,"National Sports University, Chiang Mai Campus",25,32.62
