Name,EventName,Result,Rank,Note,Seconds,Date,City,MeetName,PoolName,LengthMeters
Anna,50m Breaststroke,0:43.94,4.0,退步,43.94,2025-08-16,Chiang Rai,Northern Short Course (NSC) Swimming Championship 2025,"Luk Pho Khun Mengrai, Chiang Rai Province",25.0
Pami,50m Breaststroke,0:44.86,,,44.86,2025-08-16,Chiang Rai,Northern Short Course (NSC) Swimming Championship 2025,"Luk Pho Khun Mengrai, Chiang Rai Province",25.0
Pami,100m Butterfly,1:26.37,2.0,,86.37,2025-08-16,Chiang Rai,Northern Short Course (NSC) Swimming Championship 2025,"Luk Pho Khun Mengrai, Chiang Rai Province",25.0
Anna,100m Butterfly,1:27.57,3.0,,87.57,2025-08-16,Chiang Rai,Northern Short Course (NSC) Swimming Championship 2025,"Luk Pho Khun Mengrai, Chiang Rai Province",25.0
Anna,200m IM,3:03.83,4.0,脚打滑,183.83,2025-08-16,Chiang Rai,Northern Short Course (NSC) Swimming Championship 2025,"Luk Pho Khun Mengrai, Chiang Rai Province",25.0
Pami,200m IM,3:06.30,5.0,,186.3,2025-08-16,Chiang Rai,Northern Short Course (NSC) Swimming Championship 2025,"Luk Pho Khun Mengrai, Chiang Rai Province",25.0
Anna,50m Backstroke,0:40.50,5.0,,40.5,2025-08-16,Chiang Rai,Northern Short Course (NSC) Swimming Championship 2025,"Luk Pho Khun Mengrai, Chiang Rai Province",25.0
Pami,50m Backstroke,0:43.37,11.0,,43.37,2025-08-16,Chiang Rai,Northern Short Course (NSC) Swimming Championship 2025,"Luk Pho Khun Mengrai, Chiang Rai Province",25.0
Anna,100m Freestyle,1:14.55,5.0,,74.55,2025-08-16,Chiang Rai,Northern Short Course (NSC) Swimming Championship 2025,"Luk Pho Khun Mengrai, Chiang Rai Province",25.0
Pami,100m Freestyle,1:13.29,4.0,,73.29,2025-08-16,Chiang Rai,Northern Short Course (NSC) Swimming Championship 2025,"Luk Pho Khun Mengrai, Chiang Rai Province",25.0
Pami,200m Butterfly,3:23.81,2,,203.81,2025-08-16,Chiang Rai,Northern Short Course (NSC) Swimming Championship 2025,"Luk Pho Khun Mengrai, Chiang Rai Province",25.0
